Summary,Label,Confidence,URL
Musk says Tesla has a small amount of the digital currency.,NEGATIVE,0.9884079694747925,https://finance.yahoo.com/news/bitcoin-hits-three-month-low-044552615.html
Tesla no longer accepts cryptocurrency as payment for its products,NEGATIVE,0.9996539354324341,https://finance.yahoo.com/news/crypto-long-short-why-tesla-210000667.html
"Reversing a 2.96% gain from the previous week, Bitcoin ends the week at $46,597.0.",NEGATIVE,0.9982510209083557,https://finance.yahoo.com/news/bitcoin-ethereum-weekly-technical-analysis-013519164.html
"The cryptocurrency approached initial support around $42,000. Bitcoin is now down about 20% for the month to date",NEGATIVE,0.999695897102356,https://finance.yahoo.com/news/bitcoin-holds-support-faces-resistance-113039879.html
Largest cryptocurrency continues to trade lower than April’s high.,NEGATIVE,0.9994952082633972,https://finance.yahoo.com/news/latest-bitcoin-price-analysis-btc-151236188.html
The cryptocurrency is down 8.48% in the past 24 hours.,NEGATIVE,0.9994746446609497,https://finance.yahoo.com/news/bitcoin-ether-dive-while-alternative-174208901.html
Rally could be short-lived as long-term momentum continues to weaken.,NEGATIVE,0.9996762275695801,https://finance.yahoo.com/news/bitcoin-stabilizes-sell-off-faces-113105291.html
Bitcoin is expected to bounce upwards after reaching support line.,NEGATIVE,0.9940624237060547,https://finance.yahoo.com/news/bitcoin-btc-drops-sharply-maintains-082518907.html
Bitcoin has had a rough couple of days after Elon Musk said it would no longer be accepted.,NEGATIVE,0.9993404150009155,https://finance.yahoo.com/news/gundlach-on-bitcoin-and-cryptocurrencies-180710683.html
"Report could be ‘the most interesting week for crypto,’ Zack says.",POSITIVE,0.9663017392158508,https://finance.yahoo.com/video/bitcoin-future-digital-currencies-163235195.html
Energy consumption is lower in Bitcoin than in traditional financial industries.,NEGATIVE,0.9965302348136902,https://finance.yahoo.com/news/galaxy-digital-bitcoin-consumes-less-064229894.html
Jason Hsu is chief investment officer of Rayliant Global Advisors.,POSITIVE,0.9905637502670288,https://finance.yahoo.com/video/bitcoin-reflecting-dimension-thinking-cryptocurrency-190302277.html
"Bitcoin has fallen below the $50,000 psychological support line. Prices are currently hovering around $49,200.",NEGATIVE,0.9979391694068909,https://finance.yahoo.com/news/bitcoin-breaks-below-50k-market-030348956.html
Marathon Digital’s share price has more than doubled in a year.,POSITIVE,0.9786949753761292,https://finance.yahoo.com/news/marathon-digital-still-crypto-stock-081742953.html
Coindesk is concerned about rapidly increasing use of fossil fuels for Bitcoin mining.,POSITIVE,0.951452374458313,https://finance.yahoo.com/video/musks-comments-bitcoin-were-four-010125429.html
"NUPL, MVRV Z-Score, UTXOs in profit, aSOPR on-chain indicators.",NEGATIVE,0.9861905574798584,https://finance.yahoo.com/news/chain-analysis-bitcoin-btc-drops-150854262.html
Fears of an early U.S. rate hike also weighed on the cryptocurrency.,NEGATIVE,0.9935938715934753,https://finance.yahoo.com/news/crypto-options-market-makers-starting-145907025.html
"Speaking at the company’s annual meeting, he’s not a fan of the cryptocurrency.",NEGATIVE,0.9889423847198486,https://finance.yahoo.com/news/wall-street-bitcoin-isn-t-130000592.html
"Bitcoin leads the way higher, up 7% in last 24 hours.",POSITIVE,0.9826744794845581,https://finance.yahoo.com/news/cryptocurrency-bitcoin-price-ethereum-dogecoin-073513253.html
Largest cryptocurrency is down more than 10% from record high.,NEGATIVE,0.9986303448677063,https://finance.yahoo.com/news/bitcoin-falls-11-1-53-124235325.html
"Bitcoin is expected to create a lower low at either $54,400 or $53,000.",NEGATIVE,0.9997274279594421,https://finance.yahoo.com/news/bitcoin-btc-attempts-create-higher-072900098.html
Pantera Capital CEO Dan Morehead joins Finance Live.,POSITIVE,0.9961953163146973,https://finance.yahoo.com/video/why-bitcoin-could-hit-115-161324781.html
Is Bitcoin the least exciting crypto asset? Bitcoin is to the crypto market what Netscape was to search,NEGATIVE,0.9993103742599487,https://finance.yahoo.com/news/forget-bitcoin-crypto-assets-154341517.html
"Kevin Simpson, Founder and Chief Investment Officer at Capital Wealth Planning.",POSITIVE,0.9861441850662231,https://finance.yahoo.com/video/ethereum-won-t-put-bitcoin-173325638.html
Shares of the crypto exchange have lost more than half of their value since launching.,NEGATIVE,0.9997468590736389,https://finance.yahoo.com/news/coinbase-hits-historic-low-bitcoin-183000085.html
Bitcoin plunged as much as 17% after Tesla said it wouldn't accept the cryptocurrency.,NEGATIVE,0.9979057312011719,https://finance.yahoo.com/news/7-surprising-bitcoin-metrics-watch-215723290.html
Analytics company says it is also considering investing in cryptocurrencies.,NEGATIVE,0.9061545133590698,https://finance.yahoo.com/news/3-palantir-allows-payments-bitcoin-151308700.html
"Markets are increasingly dominated by fads, such as dogecoin.",NEGATIVE,0.9577562808990479,https://finance.yahoo.com/news/column-bitcoin-dogecoin-ntfs-gamestop-175419173.html
Largest cryptocurrency is down 22.5% from year's high.,NEGATIVE,0.9989989399909973,https://finance.yahoo.com/news/1-bitcoin-falls-1-8-174527166.html
"Notional Finance is one of the first to offer loans on the Ethereum protocol. Co-founded by CEO Teddy Woodward, the company is based in San Francisco",POSITIVE,0.9816976189613342,https://finance.yahoo.com/news/market-wrap-bitcoin-near-53k-204212010.html
"Bitcoin, Ether and other coins fall on Sunday.",NEGATIVE,0.7594700455665588,https://finance.yahoo.com/news/bitcoin-falls-7-7-55-041127419.html
"Forecaster says pullback might strengthen case for $100,000 price target.",NEGATIVE,0.9776256680488586,https://finance.yahoo.com/news/why-bitcoins-pullback-is-healthy-for-a-run-to-100000-122540532.html
Largest cryptocurrency is up 105.9% from year's low.,NEGATIVE,0.6872363686561584,https://finance.yahoo.com/news/bitcoin-rises-6-54-57-201404962.html
"Ether now accounts for 15% of crypto market value, up from 5% at start of year.",NEGATIVE,0.6657909154891968,https://finance.yahoo.com/news/ether-hits-3-000-bitcoin-021316826.html
"Bitcoin options skew rises to 26%, highest since Oct. 2. Short-term put options are drawing higher prices than calls",NEGATIVE,0.9962969422340393,https://finance.yahoo.com/news/bitcoin-traders-buying-more-downside-123607832.html
"Bitcoin falls below $50,000 after Tesla halts acceptance of payments. Long-term momentum continues to weaken",NEGATIVE,0.9995738863945007,https://finance.yahoo.com/news/bitcoin-sell-off-could-stabilize-112904558.html
Largest cryptocurrency climbs as much as 13% on Monday. JPMorgan preparing to launch Bitcoin fund this summer,NEGATIVE,0.9528000950813293,https://finance.yahoo.com/news/bitcoin-bounces-strongly-hitting-lowest-041845336.html
"Michael Sonnenshein, Grayscale Investments CEO, joins Finance Live.",POSITIVE,0.9951704740524292,https://finance.yahoo.com/video/bitcoin-traders-shouldn-t-worry-133052481.html
5 best bitcoin stocks to buy now.,POSITIVE,0.9995508790016174,https://finance.yahoo.com/news/10-best-bitcoin-stocks-buy-141250027.html
"Ethereum hits record high on Wednesday, breaking $500bn market cap. Bitcoin and other cryptocurrencies also higher on Wednesday",POSITIVE,0.9933167099952698,https://finance.yahoo.com/news/bitcoin-ethereum-dogecoin-elon-musk-cryptocurrencies-prices-12-may-083700636.html
"Ether’s price hits record high, cyrpto’s dominance back in focus.",POSITIVE,0.9992260336875916,https://finance.yahoo.com/news/us-officials-arrest-alleged-operator-233823844.html
Regulators have rejected dozens of ETF proposals.,NEGATIVE,0.9943711757659912,https://finance.yahoo.com/news/bitcoin-price-may-lower-other-212253680.html
"It’s been a bumpy start to the year, but there’s still time to take profits.",NEGATIVE,0.9889976978302002,https://finance.yahoo.com/news/bitcoin-holds-support-faces-resistance-112638988.html
Bitcoin has been showing signs of recovery since April 14. There are no clear bullish reversal signs for the coin,NEGATIVE,0.8599145412445068,https://finance.yahoo.com/news/bitcoin-btc-bounces-back-reclaims-075000778.html
Biggest cryptocurrency trades well below 100-day simple moving average.,NEGATIVE,0.9974676966667175,https://finance.yahoo.com/news/bitcoin-price-drops-below-100-094911216.html
Cryptocurrencies are increasingly being used by investors.,NEGATIVE,0.9846306443214417,https://finance.yahoo.com/news/riot-blockchain-vs-marathon-digital-145117124.html
Tesla sold $272 million of its bitcoin holdings in the first quarter.,NEGATIVE,0.7545371055603027,https://finance.yahoo.com/news/cryptotwitter-shows-no-respect-age-191548391.html
"This week’s price movements for bitcoin, gold, as well as stocks, Square and JPMorgan.",NEGATIVE,0.975219190120697,https://finance.yahoo.com/news/gold-stocks-bitcoin-weekly-overview-184000545.html
Fundstrat’s Grider joins Finance Live to discuss crypto sell-off.,POSITIVE,0.9788131713867188,https://finance.yahoo.com/video/strategist-bitcoin-market-needs-healthy-152323345.html
Largest cryptocurrency’s gains lag behind S&P 500 in 2021.,NEGATIVE,0.9830870032310486,https://finance.yahoo.com/news/bitcoin-ethereum-dogecoin-crypto-largest-142520938.html
Former presidential candidate spoke with Yahoo Finance’s Serwer.,NEGATIVE,0.6394010186195374,https://finance.yahoo.com/news/elizabeth-warren-environmental-impact-bitcoin-161724029.html
Ether’s average fees have dropped over the past seven days.,NEGATIVE,0.9973649978637695,https://finance.yahoo.com/news/market-wrap-bitcoin-bounces-54k-204028607.html
Tesla sold some of its Bitcoin holdings in the first quarter.,NEGATIVE,0.9821665287017822,https://finance.yahoo.com/news/just-learned-lot-tesla-bitcoin-003042604.html
Bitcoin has returned 83.56% year-to-date (YTD).,NEGATIVE,0.9223284125328064,https://finance.yahoo.com/news/buy-bitcoin-credit-card-beginners-145414643.html
Data analytics platform skew will be integrated with Coinbase Prime.,NEGATIVE,0.9956246614456177,https://finance.yahoo.com/news/bitcoin-stabilizes-near-support-resistance-113434672.html
Self-correcting mining difficulty rises to 25.04 trillion. Bitcoin’s hashrate also climbs to a record high,NEGATIVE,0.9874409437179565,https://finance.yahoo.com/news/bitcoin-mining-difficulty-hits-high-091851371.html
Largest cryptocurrency is down about 10% for the month to date.,NEGATIVE,0.9990962743759155,https://finance.yahoo.com/news/increasingly-booming-economy-means-bitcoin-190000641.html
"Bitcoin bounces above $47,800 support area, but no clear bullish signs in place.",NEGATIVE,0.9990503191947937,https://finance.yahoo.com/news/bitcoin-btc-halts-decrease-bounce-072457008.html
